2020-10-21 19:25:32	sent: *SEND_MSG,P3_GROUP_24,P3_GROUP_1,please fix your connected message#
2020-10-22 10:23:45	sent: *SEND_MSG,P3_GROUP_39,P3_GROUP_1,good morning#
2020-10-22 14:08:47	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_20,Hi Group 1, whatsup?#
2020-10-22 15:36:29	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:37:50	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:40:10	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:40:10	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:40:24	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:40:25	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:43:08	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:43:08	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:43:08	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:43:08	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:46:15	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:46:15	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:46:15	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:46:25	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:50:20	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:50:20	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:50:20	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:50:20	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:52:39	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:52:39	sent: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 15:52:49	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home, HELLO from group 1!!!#
2020-10-22 15:52:59	received: *SEND_MSG,P3_GROUP_1,P3_GROUP_1_home,truth or dare???#
2020-10-22 16:58:22	sent: *SEND_MSG,Instructor_2,P3_GROUP_1,HELLO FROM HILMAR#
2020-10-22 16:58:23	sent: *SEND_MSG,P3_GROUP_1_home,P3_GROUP_1,HELLO FROM HILMAR#
2020-10-22 16:58:23	sent: *SEND_MSG,P3_GROUP_33,P3_GROUP_1,HELLO FROM HILMAR#
2020-10-22 16:58:23	sent: *SEND_MSG,P3_GROUP_22,P3_GROUP_1,HELLO FROM HILMAR#
2020-10-22 16:58:23	sent: *SEND_MSG,ORACLE,P3_GROUP_1,HELLO FROM HILMAR#
